name,displayName,h,a,b,c,d,s,total,maxSpeedWithScarf,maxSpeed,secondSpeed,noAdjustment,minSpeed
ウォーグル,ウォーグル,100,123,75,57,75,80,510,217,145,132,100,76
コマタナ,コマタナ,45,85,70,40,40,60,340,184,123,112,80,58
キリキザン,キリキザン,65,125,100,60,70,70,490,201,134,122,90,67
ドドゲザン,ドドゲザン,100,135,120,60,85,50,550,168,112,102,70,49
モノズ,モノズ,52,65,50,45,50,38,300,148,99,90,58,38
ジヘッド,ジヘッド,72,85,70,65,70,58,420,181,121,110,78,56
サザンドラ,サザンドラ,92,105,90,125,90,98,600,247,165,150,118,92
ミガルーサ,ミガルーサ,90,102,73,78,65,70,478,201,134,122,90,67
ヘイラッシャ,ヘイラッシャ,150,100,115,65,65,35,530,142,95,87,55,36
シャリタツ,シャリタツ,68,50,60,120,95,82,475,220,147,134,102,78
イダイナキバ,イダイナキバ,115,131,131,53,53,87,570,228,152,139,107,82
サケブシッポ,サケブシッポ,115,65,99,65,115,111,570,268,179,163,131,104
アラブルタケ,アラブルタケ,111,127,99,79,99,55,570,175,117,107,75,54
ハバタクカミ,ハバタクカミ,55,55,55,135,135,135,570,307,205,187,155,126
チヲハウハネ,チヲハウハネ,85,135,79,85,105,81,570,219,146,133,101,77
スナノケガワ,スナノケガワ,85,81,97,121,85,101,570,252,168,153,121,95
テツノワダチ,テツノワダチ,90,112,120,72,70,106,570,259,173,158,126,99
テツノツツミ,テツノツツミ,56,80,114,124,60,136,570,309,206,188,156,126
テツノカイナ,テツノカイナ,154,140,108,50,68,50,570,168,112,102,70,49
テツノコウベ,テツノコウベ,94,80,86,122,80,108,570,264,176,160,128,101
テツノドクガ,テツノドクガ,80,70,60,140,110,110,570,267,178,162,130,103
テツノイバラ,テツノイバラ,100,134,110,70,84,72,570,204,136,124,92,69
セビエ,セビエ,65,75,45,35,45,55,320,175,117,107,75,54
セゴール,セゴール,90,95,66,45,65,62,423,187,125,114,82,60
セグレイブ,セグレイブ,115,145,92,75,86,87,600,228,152,139,107,82
コレクレー,コレクレー,45,30,70,75,70,10,300,102,68,62,30,13
サーフゴー,サーフゴー,87,60,95,133,91,84,550,223,149,136,104,80
チオンジェン,チオンジェン,85,85,100,95,135,70,570,201,134,122,90,67
パオジアン,パオジアン,80,120,80,90,65,135,570,307,205,187,155,126
ディンルー,ディンルー,155,110,125,55,80,45,570,159,106,97,65,45
イーユイ,イーユイ,55,80,80,135,120,100,570,250,167,152,120,94
トドロクツキ,トドロクツキ,105,139,71,55,101,119,590,282,188,171,139,111
テツノブジン,テツノブジン,74,130,90,120,60,116,590,276,184,168,136,108
コライドン,コライドン,100,135,115,85,100,135,670,307,205,187,155,126
ミライドン,ミライドン,100,85,100,135,115,135,670,307,205,187,155,126
ニャース,ガラルニャース,50,65,55,40,40,40,290,151,101,92,60,40
ニャイキング,ニャイキング,70,110,100,50,60,50,440,168,112,102,70,49
ウパー,ウパー,55,45,45,25,25,15,210,109,73,67,35,18
ヌオー,ヌオー,95,85,85,65,65,35,430,142,95,87,55,36
ヒトカゲ,ヒトカゲ,39,52,43,60,50,65,309,192,128,117,85,63
リザード,リザード,58,64,58,80,65,80,405,217,145,132,100,76
リザードン,リザードン,78,84,78,109,85,100,534,250,167,152,120,94
ヒバニー,ヒバニー,50,71,40,40,40,69,310,199,133,121,89,66
ラビフット,ラビフット,65,86,60,55,60,94,420,240,160,146,114,89
エースバーン,エースバーン,80,116,75,75,75,119,540,282,188,171,139,111
